"","total_cup_points","variety","country_of_origin","aroma","flavor","aftertaste","body","balance"
"137",84.67,"Caturra","Colombia",7.75,7.83,7.75,7.75,7.83
"138",84.67,"SL28","Kenya",7.75,7.92,7.83,7.58,7.75
"139",84.67,"Bourbon","Guatemala",8,7.83,7.67,7.67,8
"140",84.67,"Bourbon","Guatemala",7.67,7.83,7.67,7.67,7.83
"141",84.67,"Typica","Mexico",7.83,7.58,7.67,7.92,7.83
"142",84.67,"Other","Uganda",7.92,7.83,7.75,7.67,7.75
"143",84.67,NA,"Peru",7.67,7.83,7.75,7.92,7.83
"144",84.67,NA,"Ethiopia",7.42,7.75,7.75,8,7.92
"145",84.58,"SL34","Kenya",7.92,7.75,7.83,7.58,7.92
"146",84.58,"Other","Colombia",7.83,7.67,7.58,7.67,7.83
"147",84.58,"Caturra","Colombia",7.92,7.83,7.58,7.83,7.67
"148",84.58,"Peaberry","Kenya",7.83,7.83,7.83,7.58,7.83
"149",84.58,"Pacas","Guatemala",7.75,7.83,7.67,7.75,7.83
"150",84.58,"Bourbon","Guatemala",8,7.92,7.67,7.58,7.67
"151",84.58,"Caturra","Colombia",7.67,7.67,7.58,7.58,8.5
"152",84.58,"Caturra","Colombia",7.75,7.75,7.83,7.58,8
"153",84.58,"SL28","Kenya",7.75,7.75,7.75,7.75,7.75
"154",84.58,"Caturra","Colombia",7.67,7.83,7.83,7.58,7.92
"155",84.58,"Bourbon","Costa Rica",7.75,7.83,7.75,7.83,7.67
"156",84.58,"Caturra","Colombia",7.42,7.67,7.75,8.08,7.83
"157",84.58,"Bourbon","Brazil",8,8,7.75,7.58,7.75
"158",84.58,"Catuai","Brazil",8.5,8,7.5,7.5,7.83
"159",84.5,"Caturra","Costa Rica",7.92,7.67,7.92,7.67,7.58
"160",84.5,"SL14","Uganda",7.92,7.75,7.67,7.83,7.75
"161",84.5,"Catimor","China",7.75,7.92,7.67,7.75,7.67
"162",84.5,"Caturra","Costa Rica",7.92,7.83,7.83,7.58,7.58
"163",84.5,"Other","Colombia",8.08,7.67,7.83,7.67,7.67
"164",84.5,"Other","China",7.67,8,7.75,7.75,7.58
"165",84.5,"Bourbon","Guatemala",8.17,7.83,7.67,7.67,7.83
"166",84.5,"SL28","Kenya",7.92,7.83,7.67,7.67,7.75
"167",84.5,"Typica","Mexico",8,7.92,7.42,7.5,7.67
"168",84.5,"Typica","Mexico",7.92,7.83,7.75,7.75,7.83
"169",84.5,"Bourbon","Guatemala",7.67,8,7.67,7.5,7.83
"170",84.5,NA,"Brazil",7.81,7.81,7.88,7.38,8.25
"171",84.5,NA,"Brazil",8.17,7.67,7.75,7.67,7.75
"172",84.42,"Caturra","Costa Rica",7.58,7.83,7.83,7.67,7.58
"173",84.42,"Mandheling","Indonesia",7.67,7.67,7.83,7.83,7.83
"174",84.42,"Caturra","Colombia",7.92,7.83,7.75,7.92,7.67
"175",84.42,"Caturra","Colombia",7.92,7.75,7.67,7.67,7.75
"176",84.42,"Typica","Taiwan",7.83,7.83,7.75,7.5,7.75
"177",84.42,"Hawaiian Kona","United States (Hawaii)",7.92,7.92,7.5,7.5,7.92
"178",84.42,"Pacamara","Mexico",7.75,7.92,7.75,7.83,7.67
"179",84.42,NA,"Ethiopia",7.5,7.75,7.83,7.92,7.75
"180",84.33,"SL28","Kenya",7.33,7.58,7.83,7.75,7.92
"181",84.33,"Caturra","Honduras",7.92,8,7.75,7.67,7.75
"182",84.33,"Caturra","Colombia",7.58,7.75,7.5,7.67,8.5
"183",84.33,"Catuai","Honduras",7.58,7.92,7.58,7.92,7.75
"184",84.33,NA,"Colombia",7.67,7.67,7.75,7.75,7.83
"185",84.33,"Caturra","Colombia",7.75,7.67,8,8.08,7.83
"186",84.33,"Caturra","Colombia",7.75,7.58,7.33,7.58,8.08
"187",84.33,"Typica","Mexico",8,7.75,7.75,7.5,7.67
"188",84.33,"Yellow Bourbon","Brazil",8.17,8,7.5,7.5,7.67
"189",84.33,NA,"Brazil",8,8,7.5,7.67,7.75
"190",84.33,NA,"Ethiopia",7.75,7.75,7.92,7.5,7.92
"191",84.33,NA,"Guatemala",7.5,7.67,7.75,7.92,7.92
"192",84.25,"Typica","Taiwan",7.92,7.75,7.75,7.67,7.83
"193",84.25,"Catimor","Thailand",7.83,7.75,7.75,7.83,7.67
"194",84.25,"Caturra","Colombia",7.83,7.58,7.75,7.67,8
"195",84.25,"Caturra","Guatemala",7.75,7.75,7.58,7.75,7.75
"196",84.25,"Caturra","Guatemala",7.75,7.92,7.5,7.58,7.67
"197",84.25,"Catimor","China",7.83,7.83,7.58,7.75,7.75
"198",84.25,"Caturra","Colombia",7.67,7.67,7.75,7.67,7.92
"199",84.25,"Caturra","Colombia",7.83,7.67,7.75,7.92,7.75
"200",84.25,"Other","Colombia",7.83,7.75,7.83,7.67,7.75
"201",84.25,"Caturra","Colombia",7.42,7.67,7.83,7.92,7.83
"202",84.25,"Other","Tanzania, United Republic Of",7.83,7.67,7.75,7.67,7.67
"203",84.25,"Other","Tanzania, United Republic Of",7.83,7.75,7.75,7.67,7.75
"204",84.25,"Bourbon","Guatemala",7.83,7.83,7.5,7.58,7.75
"205",84.25,"Caturra","Colombia",7.58,7.5,7.75,7.92,7.83
"206",84.25,"Hawaiian Kona","United States (Hawaii)",7.33,7.92,7.92,7.92,8.08
"207",84.25,"Typica","Mexico",7.83,7.92,7.67,7.5,7.75
"208",84.25,"Bourbon","Mexico",7.83,7.83,7.75,7.83,7.58
"209",84.25,"Bourbon","Mexico",7.83,7.92,7.67,7.5,7.75
"210",84.25,"Other","Uganda",8.17,7.75,7.58,7.83,7.58
"211",84.17,"Bourbon","Guatemala",7.75,7.83,7.58,7.67,7.75
"212",84.17,"Caturra","Colombia",7.83,7.75,7.58,7.75,7.83
"213",84.17,"Caturra","Costa Rica",7.92,7.75,7.67,7.5,7.67
"214",84.17,"Caturra","Guatemala",7.75,7.75,7.58,7.67,7.83
"215",84.17,"Caturra","Guatemala",7.75,7.92,7.58,7.67,7.67
"216",84.17,"Bourbon","Guatemala",7.58,7.83,7.58,7.83,7.67
"217",84.17,"Caturra","Colombia",8,7.5,7.5,8,7.83
"218",84.17,"Caturra","Nicaragua",7.67,7.83,7.83,7.67,7.83
"219",84.17,"Catuai","Brazil",7.67,7.75,7.75,7.83,7.75
"220",84.17,"Caturra","Costa Rica",7.67,7.75,7.67,7.5,8
"221",84.17,"Gesha","Ethiopia",7.5,7.92,7.58,7.75,7.83
"222",84.17,"Other","Tanzania, United Republic Of",7.92,7.75,7.75,7.75,7.58
"223",84.17,"Other","Colombia",7.67,7.5,7.67,7.83,8.58
"224",84.17,NA,"Guatemala",7.67,7.75,7.67,7.75,7.75
"225",84.17,"SL28","Kenya",7.58,7.75,7.75,7.75,7.83
"226",84.17,"Mundo Novo","Brazil",7.58,7.83,7.75,7.67,8
"227",84.17,"Bourbon","Guatemala",7.92,7.75,7.67,7.83,7.92
"228",84.17,"Bourbon","El Salvador",8.42,8.08,7.5,7.58,8.17
"229",84.17,"Caturra","Colombia",7.75,7.75,7.75,7.83,7.75
"230",84.17,"Catuai","Guatemala",7.83,7.5,7.5,7.83,7.83
"231",84.17,"Other","Uganda",7.83,7.75,7.5,7.83,7.75
"232",84.13,"Mandheling","Indonesia",7.81,7.88,7.56,7.63,7.75
"233",84.08,"Caturra","Colombia",7.83,7.5,7.42,7.83,8.5
"234",84.08,"Typica","Taiwan",7.58,7.67,7.67,7.75,7.83
"235",84.08,"Bourbon","Guatemala",8,7.75,7.5,7.92,7.67
"236",84.08,"Caturra","Colombia",7.92,7.75,7.67,7.67,7.67
"237",84.08,"Bourbon","Guatemala",7.58,7.75,7.67,7.75,7.67
"238",84.08,"Hawaiian Kona","United States (Hawaii)",7.83,7.75,7.83,7.42,8.08
"239",84.08,"Typica","Mexico",7.67,7.75,7.67,7.67,7.75
"240",84.08,"Other","Ethiopia",7.92,7.92,7.83,7.92,7.92
"241",84,NA,"Costa Rica",7.58,7.75,7.67,7.83,7.75
"242",84,"Gesha","Ethiopia",7.83,7.75,7.67,7.33,7.75
"243",84,"Caturra","Honduras",7.42,7.83,7.75,7.75,7.58
"244",84,"Caturra","Guatemala",7.67,7.83,7.58,7.75,7.67
"245",84,"Other","Colombia",7.67,7.67,7.83,7.58,7.83
"246",84,"Bourbon","Guatemala",7.92,7.67,7.42,7.75,7.83
"247",84,"Bourbon","Guatemala",7.75,7.83,7.5,7.58,7.67
"248",84,NA,"Colombia",7.67,7.75,7.67,7.67,7.75
"249",84,"Caturra","Colombia",7.58,7.42,7.75,7.75,7.92
"250",84,"Caturra","Colombia",7.67,7.67,7.5,7.67,7.67
"251",84,"Other","Ethiopia",7.75,7.75,7.5,7.67,7.92
"252",84,"Yellow Bourbon","Brazil",7.58,7.83,7.67,8,7.75
"253",84,"Caturra","Colombia",7.67,7.83,7.67,7.67,7.75
"254",84,"SL34","Kenya",7.67,7.83,7.5,7.92,7.67
"255",84,"Other","Thailand",7.92,8.17,8.17,8.08,8.17
"256",84,"SL28","Kenya",7.67,7.75,7.67,7.83,7.67
"257",84,"Other","Uganda",7.92,7.75,7.58,7.67,7.83
"258",84,NA,"Thailand",7.58,7.75,7.58,7.58,7.75
"259",83.92,"Bourbon","Brazil",7.5,7.75,7.58,7.58,7.5
"260",83.92,"Mundo Novo","Mexico",7.83,7.83,7.58,7.42,7.5
"261",83.92,"Catimor","Thailand",7.67,7.75,7.5,7.67,7.83
"262",83.92,"Bourbon","Brazil",7.58,7.67,7.67,7.58,7.83
"263",83.92,"Typica","Taiwan",7.83,7.75,7.83,7.83,7.75
"264",83.92,NA,"Colombia",7.75,7.67,7.5,7.83,7.75
"265",83.92,NA,"Colombia",7.75,7.58,7.5,7.75,7.92
"266",83.92,NA,"Taiwan",7.75,7.75,7.58,7.75,7.67
"267",83.92,NA,"Colombia",7.92,7.67,7.5,7.58,7.67
"268",83.92,NA,"Colombia",7.83,7.75,7.58,7.75,7.75
"269",83.92,"Caturra","Colombia",7.75,7.58,7.67,7.83,7.67
"270",83.92,"Typica","Taiwan",8,7.92,7.92,7.67,7.33
"271",83.92,"Caturra","Colombia",7.67,7.83,7.67,7.67,7.83
"272",83.92,"Typica","Mexico",7.67,7.75,7.58,7.75,7.83
"273",83.92,"Typica","Mexico",7.5,7.67,7.58,7.75,7.75
"274",83.92,"Typica","Mexico",7.75,7.92,7.83,7.75,7.67
"275",83.83,"Caturra","Colombia",7.92,7.58,7.5,7.58,7.67
"276",83.83,"Caturra","Colombia",7.83,7.67,7.5,7.75,7.75
"277",83.83,"Caturra","Costa Rica",7.67,7.67,7.75,7.5,7.75
"278",83.83,"Bourbon","Guatemala",7.75,7.75,7.5,7.83,7.58
"279",83.83,NA,"Taiwan",7.75,7.67,7.5,7.75,7.67
"280",83.83,"Yellow Bourbon","Brazil",7.25,7.58,7.42,7.75,7.83
"281",83.83,"Typica","Taiwan",7.67,7.75,7.67,7.42,7.75
"282",83.83,NA,"Ethiopia",7.75,7.75,7.67,7.58,7.67
"283",83.83,"Bourbon","Brazil",7.67,7.67,7.58,7.83,8.17
"284",83.83,"Catuai","Costa Rica",7.83,7.42,7.5,7.75,7.83
"285",83.83,"Bourbon","Guatemala",7.58,7.83,7.33,7.58,7.75
"286",83.83,"Yellow Bourbon","Brazil",7.92,7.5,7.33,8.17,7.5
"287",83.83,NA,"Ecuador",7.5,7.67,7.58,7.83,7.83
"288",83.83,"Caturra","Colombia",7.67,7.58,7.58,7.58,7.67
"289",83.83,"Bourbon","Guatemala",7.5,7.83,7.5,7.83,7.67
"290",83.83,"Bourbon","Mexico",7.67,8,7.67,7.67,7.5
"291",83.83,"Pacas","Mexico",7.67,7.58,7.5,7.75,7.75
"292",83.83,"Yellow Bourbon","Brazil",7.83,7.83,7.58,7.5,7.58
"293",83.83,NA,"Thailand",7.75,7.75,7.58,7.67,7.58
"294",83.83,NA,"Thailand",7.5,7.83,7.58,7.75,7.83
"295",83.83,NA,"Ethiopia",7.58,7.83,7.58,7.83,7.5
"296",83.75,"SL28","Kenya",7.75,7.58,7.5,7.75,7.75
"297",83.75,"Bourbon","Brazil",7.67,7.67,7.58,7.67,7.67
"298",83.75,"Caturra","Colombia",7.83,7.83,7.58,7.58,7.58
"299",83.75,"Typica","Taiwan",7.67,7.67,7.58,7.67,7.83
"300",83.75,NA,"Colombia",7.92,7.75,7.5,7.75,7.5
"301",83.75,"Catimor","China",7.83,7.75,7.67,7.58,7.67
"302",83.75,"Caturra","Colombia",7.75,7.67,7.5,7.58,7.83
"303",83.75,"Bourbon","Uganda",8,7.92,7.58,7.33,7.5
"304",83.75,"Other","United States (Puerto Rico)",7.83,7.83,7.83,8,8.17
"305",83.75,"Caturra","Colombia",7.67,7.67,7.67,7.5,7.67
"306",83.75,"Other","Colombia",7.67,7.42,7.42,8,8.33
"307",83.75,"Caturra","Colombia",7.58,7.67,7.75,7.67,7.67
"308",83.75,"Caturra","Colombia",7.75,7.67,7.75,7.42,8
"309",83.75,"Hawaiian Kona","United States (Hawaii)",7.25,7.42,7.67,7.83,8.25
"310",83.75,"Caturra","Mexico",7.83,7.58,7.58,7.75,7.67
"311",83.75,"Caturra","Guatemala",7.67,7.58,7.58,7.75,7.75
"312",83.75,NA,"Colombia",7.83,7.83,7.58,7.42,7.67
"313",83.75,NA,"Colombia",7.75,7.67,7.25,7.58,8.5
"314",83.75,NA,"United States (Hawaii)",7.83,7.67,7.75,7.58,7.5
"315",83.67,"Bourbon","Brazil",7.67,7.83,7.5,7.67,7.5
"316",83.67,"SL28","Kenya",8.08,7.67,7.67,7.25,7.67
"317",83.67,"Caturra","Honduras",7.5,7.5,7.67,8,8
"318",83.67,"Caturra","Nicaragua",7.67,7.75,7.67,7.83,7.58
"319",83.67,"Bourbon","Brazil",7.58,7.75,7.58,7.58,7.58
"320",83.67,"Caturra","Taiwan",7.5,7.67,7.33,7.83,7.67
"321",83.67,NA,"Costa Rica",7.33,7.67,7.67,7.67,7.5
"322",83.67,NA,"Thailand",7.5,7.75,7.58,7.67,7.58
"323",83.67,"Caturra","Colombia",7.5,7.75,7.5,7.67,7.67
"324",83.67,"Bourbon","Guatemala",8,7.5,7.33,8,8
"325",83.67,"Caturra","Colombia",7.83,7.75,7.67,7.58,7.67
"326",83.67,"Caturra","Colombia",7.67,7.67,7.67,7.33,7.75
"327",83.67,"Bourbon","Guatemala",7.67,7.67,7.42,8,7.75
"328",83.67,"Bourbon","Guatemala",7.83,7.67,7.33,7.67,7.83
"329",83.67,"Caturra","Colombia",7.75,7.75,7.58,7.17,7.75
"330",83.67,"Caturra","Guatemala",8.17,8.17,7.83,8.08,7.75
"331",83.67,"Bourbon","Guatemala",7.67,8.17,7.5,7.58,7.83
"332",83.67,"Typica","Mexico",7.67,7.5,7.5,7.83,8.25
"333",83.67,"Typica","Indonesia",8.17,7.67,7.58,7.42,7.67
"334",83.67,"Caturra","Guatemala",7.67,7.5,7.33,7.67,7.67
"335",83.67,NA,"United States (Hawaii)",7.75,8,7.92,7.75,8
"336",83.58,"Bourbon","Brazil",7.58,7.67,7.58,7.67,7.58
"337",83.58,"Caturra","Guatemala",7.75,7.75,7.5,7.58,7.58
"338",83.58,"Caturra","Colombia",7.75,7.75,7.58,7.67,7.58
"339",83.58,"Catimor","China",7.67,7.58,7.58,7.67,7.75
"340",83.58,"Caturra","Colombia",7.67,7.75,7.58,7.75,7.58
"341",83.58,"Caturra","Mexico",7.75,7.75,7.58,7.5,7.67
"342",83.58,"Other","Ethiopia",7.75,7.67,7.58,7.5,7.67
"343",83.58,"SL14","Uganda",7.67,7.67,7.42,7.75,7.67
"344",83.58,"Caturra","Colombia",7.67,7.58,7.67,7.67,7.67
"345",83.58,"Caturra","Colombia",7.67,7.58,7.67,7.67,7.75
"346",83.58,"Caturra","Colombia",7.75,7.58,7.5,7.75,7.83
"347",83.58,"Typica","Taiwan",7.75,7.75,7.75,7.5,7.58
"348",83.58,"Caturra","Colombia",7.67,7.67,7.58,7.75,7.58
"349",83.58,"Typica","Mexico",7.83,7.67,7.58,7.67,7.58
"350",83.58,"Caturra","Colombia",7.67,7.58,7.58,7.67,7.75
"351",83.58,"Catuai","Brazil",7.83,7.75,7.5,7.5,7.58
"352",83.5,"Caturra","Colombia",7.75,7.58,7.58,7.75,7.5
"353",83.5,NA,"Taiwan",7.58,7.58,7.17,7,7
"354",83.5,"Caturra","Costa Rica",7.92,7.42,7.5,7.5,7.67
"355",83.5,"Caturra","Colombia",7.75,7.58,7.58,7.75,7.75
"356",83.5,"Bourbon","Guatemala",7.67,7.75,7.5,7.58,7.58
"357",83.5,"Caturra","Colombia",7.58,7.58,7.58,7.75,7.67
"358",83.5,"Ruiru 11","Tanzania, United Republic Of",7.75,7.67,7.58,7.67,7.58
"359",83.5,"Sumatra","Indonesia",7.25,7.67,7.58,7.83,7.58
"360",83.5,NA,"Ethiopia",7.67,7.75,7.5,7.75,7.67
"361",83.5,NA,"Colombia",7.67,7.42,7.67,7.58,7.67
"362",83.5,"Caturra","Colombia",8,7.58,7.25,7.92,7.58
"363",83.5,"Caturra","Guatemala",7.58,7.75,7.5,7.42,7.67
"364",83.5,"Caturra","Colombia",7.75,7.58,7.33,7.83,7.83
"365",83.5,"Caturra","Honduras",7.67,7.5,7.67,7.67,7.67
"366",83.5,"Caturra","Colombia",7.58,7.75,7.42,7.75,7.67
"367",83.5,"Caturra","Colombia",7.58,7.67,7.58,7.58,7.75
"368",83.5,"Bourbon","Mexico",7.83,7.58,7.25,7.5,7.42
"369",83.5,"Typica","Mexico",7.67,7.75,7.67,7.58,7.5
"370",83.5,"Pacamara","Mexico",7.75,7.67,7.67,7.33,7.5
"371",83.5,"Caturra","Guatemala",7.83,7.5,7.5,7.67,7.5
